AppID;Name;Release date;Estimated owners;Required age;Price;DLC count;Supported languages;Website;Windows;Mac;Linux;Positive;Negative;Achievements;Average playtime forever;Median playtime forever;Developers;Publishers;Categories
1509640;Viking Warrior;19.01.2021;0 - 20000;0;3.99;0;['English'];;WAHR;FALSCH;FALSCH;2;17;0;0;0;VikingWarrior;VikingWarrior;Single-player
1135380;???????;03.10.2019;0 - 20000;0;3.99;0;['Simplified Chinese'];;WAHR;FALSCH;FALSCH;6;4;0;0;0;?????;?????;Single-player
1944730;Square Keeper;09.06.2022;0 - 20000;0;4.99;0;['English'];https://www.jandusoft.com/squarekeeper;WAHR;FALSCH;FALSCH;10;0;12;0;0;KanakStudio;JanduSoft;Single-player,Steam Achievements,Full controller support,Steam Cloud
1144900;Pension Day;03.09.2019;20000 - 50000;0;0.99;0;['English'];;WAHR;FALSCH;FALSCH;0;1;0;0;0;Julian Henley;Julian Henley;Single-player
306350;Slipstream 5000;09.10.2015;200000 - 500000;0;2.99;0;['English'];http://www.funboxmedia.co.uk/;WAHR;FALSCH;FALSCH;283;92;0;183;196;Gremlin Interactive,The Software Refinery;Funbox Media Ltd;Single-player,Steam Trading Cards
1684530;100 Doors: Escape from Work;01.03.2022;0 - 20000;0;9.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Danish', 'Dutch', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Swedish', 'Thai', 'Turkish', 'Vietnamese', 'Simplified Chinese'];;WAHR;WAHR;FALSCH;7;2;14;0;0;Peaksel;Peaksel;Single-player
1557480;Project MIKHAIL: A Muv-Luv War Story;01.11.2021;20000 - 50000;0;19.99;0;['English', 'Japanese'];https://www.project-mikhail.com;WAHR;FALSCH;FALSCH;328;253;0;670;670;aNCHOR Inc.,fuzz, Inc.;aNCHOR Inc.;Single-player,Multi-player,PvP,Online PvP,Partial Controller Support
1128520;Rezist: Tower Defense;26.09.2019;0 - 20000;0;0.99;0;['English'];;WAHR;FALSCH;FALSCH;8;0;0;0;0;SparkGames;SparkGames;Single-player
12140;Max Payne;06.01.2011;500000 - 1000000;17;3.49;0;['English'];http://www.rockstargames.com/maxpayne/;WAHR;FALSCH;FALSCH;9516;1114;0;168;80;Remedy Entertainment;Rockstar Games;Single-player
1647430;Black Mansion;15.06.2021;20000 - 50000;0;6.99;0;['English', 'Japanese', 'Korean', 'Simplified Chinese'];;WAHR;FALSCH;FALSCH;1;0;0;0;0;PICTOLOGI;PICTOLOGI;Single-player
1845050;Mirrorama;12.01.2022;0 - 20000;0;7.49;0;['English'];;WAHR;WAHR;WAHR;17;0;13;0;0;Berry Berry Niceu;Berry Berry Niceu;Single-player,Steam Achievements
1163340;Carrier Battles 4 Guadalcanal - Pacific War Naval Warfare;05.06.2020;0 - 20000;0;29.99;3;['English', 'French', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Italian'];https://carrier-battles.com;WAHR;WAHR;FALSCH;180;27;0;78;78;Avalon Digital,Cyril Jarnot;Avalon Digital;Single-player,Multi-player,Cross-Platform Multiplayer
1608620;Ballistic Machines;11.06.2021;0 - 20000;0;1.99;0;['English'];;WAHR;FALSCH;FALSCH;0;0;0;0;0;Ballistic Machine;Ballistic Machine;Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Remote Play Together
541570;Sally Face - Episode One;14.12.2016;500000 - 1000000;0;2.99;1;['English', 'Russian', 'Italian', 'German', 'Traditional Chinese', 'Portuguese - Brazil'];http://portablemoose.com/;WAHR;WAHR;WAHR;11739;367;35;282;295;Portable Moose;Portable Moose;Single-player,Steam Achievements,Full controller support,Steam Trading Cards
1119070;Shibui Coliseum;29.10.2019;0 - 20000;0;5.99;0;['English'];http://www.soiree.info/shibui.html;WAHR;FALSCH;FALSCH;0;0;0;0;0;Soiree Games;Soiree Games;Single-player
1292520;Crimson Spires;27.10.2020;0 - 20000;0;19.99;1;['English'];http://woodsy-studio.com/crimson-spires/;WAHR;FALSCH;FALSCH;51;6;14;0;0;Woodsy Studio;Woodsy Studio;Single-player,Steam Achievements,Full controller support
1467330;Endline;29.03.2021;0 - 20000;0;4.99;0;['English', 'French'];;WAHR;FALSCH;WAHR;1;0;12;0;0;Miniced;Miniced;Single-player,Steam Achievements,Partial Controller Support,Steam Cloud
1624600;Realms VR;30.09.2021;0 - 20000;0;4.24;0;['English'];;WAHR;FALSCH;FALSCH;7;2;0;0;0;Madman Games,RattlerCreed;Madman Games;Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Full controller support,Steam Leaderboards
870000;AmazeD 3D;14.07.2018;0 - 20000;0;0;0;['English'];http://www.retrovergames.net;WAHR;WAHR;FALSCH;4;6;10;0;0;Retrover Games;Retrover Games;Single-player,Steam Achievements,Partial Controller Support,Steam Leaderboards
1621490;MagicShop3D;19.06.2022;0 - 20000;0;9.99;0;['English'];;WAHR;FALSCH;FALSCH;0;0;0;0;0;FireArmGames;FireArmGames;Single-player
768060;The Warrior Of Treasures;03.01.2018;0 - 20000;0;0.49;0;['English'];;WAHR;FALSCH;FALSCH;31;13;0;0;0;Tero Lunkka,BlackThug;Tero Lunkka;Single-player
1746130;Onmyoji in the Otherworld: Sayaka's Story;21.09.2021;0 - 20000;0;19.99;0;['English', 'Simplified Chinese', 'Traditional Chinese'];;WAHR;FALSCH;FALSCH;0;0;0;0;0;Debonosu Works;Shiravune;Single-player,Partial Controller Support,Steam Cloud
